board1_val,board1_C,board1_D,board1_H,board1_S,board2_val,board2_C,board2_D,board2_H,board2_S,board3_val,board3_C,board3_D,board3_H,board3_S,board4_val,board4_C,board4_D,board4_H,board4_S,board5_val,board5_C,board5_D,board5_H,board5_S,p1_card1_val,p1_card1_C,p1_card1_D,p1_card1_H,p1_card1_S,p1_card2_val,p1_card2_C,p1_card2_D,p1_card2_H,p1_card2_S,p2_card1_val,p2_card1_C,p2_card1_D,p2_card1_H,p2_card1_S,p2_card2_val,p2_card2_C,p2_card2_D,p2_card2_H,p2_card2_S,p3_card1_val,p3_card1_C,p3_card1_D,p3_card1_H,p3_card1_S,p3_card2_val,p3_card2_C,p3_card2_D,p3_card2_H,p3_card2_S,p4_card1_val,p4_card1_C,p4_card1_D,p4_card1_H,p4_card1_S,p4_card2_val,p4_card2_C,p4_card2_D,p4_card2_H,p4_card2_S,p5_card1_val,p5_card1_C,p5_card1_D,p5_card1_H,p5_card1_S,p5_card2_val,p5_card2_C,p5_card2_D,p5_card2_H,p5_card2_S,p6_card1_val,p6_card1_C,p6_card1_D,p6_card1_H,p6_card1_S,p6_card2_val,p6_card2_C,p6_card2_D,p6_card2_H,p6_card2_S,winner,cartes_str,mains_description,p1_win_prob,p2_win_prob,p3_win_prob,p4_win_prob,p5_win_prob,p6_win_prob
6,0,0,1,0,7,0,1,0,0,14,0,0,1,0,4,1,0,0,0,2,0,0,0,1,9,1,0,0,0,2,0,0,1,0,12,0,0,1,0,4,0,0,1,0,8,0,0,1,0,3,0,1,0,0,6,0,0,0,1,4,0,0,0,1,2,0,1,0,0,5,0,0,0,1,10,0,1,0,0,14,0,0,0,1,P4,BOARD: 6H 7D AH 4C 2S | P1: 9C 2H | P2: QH 4H | P3: 8H 3D | P4: 6S 4S | P5: 2D 5S | P6: TD AS,P1: Pair | P2: Pair | P3: High Card | P4: Two Pair | P5: Pair | P6: Pair,0.0,0.0,0.0,100.0,0.0,0.0
8,0,0,1,0,6,0,0,0,1,9,0,0,1,0,9,0,0,0,1,7,0,0,1,0,10,1,0,0,0,13,0,0,0,1,5,0,0,0,1,3,1,0,0,0,11,1,0,0,0,13,0,0,1,0,11,0,1,0,0,4,0,0,1,0,12,0,1,0,0,3,0,1,0,0,7,0,0,0,1,5,1,0,0,0,P1,BOARD: 8H 6S 9H 9S 7H | P1: TC KS | P2: 5S 3C | P3: JC KH | P4: JD 4H | P5: QD 3D | P6: 7S 5C,P1: Straight | P2: Straight | P3: Pair | P4: Pair | P5: Pair | P6: Straight,100.0,0.0,0.0,0.0,0.0,0.0
12,0,0,0,1,8,0,0,1,0,2,0,0,1,0,10,0,1,0,0,10,0,0,1,0,4,0,0,1,0,3,0,0,1,0,3,1,0,0,0,13,0,1,0,0,11,0,1,0,0,2,1,0,0,0,11,0,0,1,0,2,0,0,0,1,7,1,0,0,0,6,0,0,1,0,6,1,0,0,0,5,1,0,0,0,P1,BOARD: QS 8H 2H TD TH | P1: 4H 3H | P2: 3C KD | P3: JD 2C | P4: JH 2S | P5: 7C 6H | P6: 6C 5C,P1: Flush | P2: Pair | P3: Two Pair | P4: Two Pair | P5: Pair | P6: Pair,100.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,0,4,0,0,0,1,3,0,0,1,0,6,1,0,0,0,8,0,0,0,1,13,1,0,0,0,4,0,1,0,0,5,0,0,0,1,4,0,0,1,0,10,0,1,0,0,9,0,0,1,0,4,1,0,0,0,12,0,0,1,0,13,0,0,0,1,11,0,0,1,0,2,0,0,0,1,14,0,0,0,1,P1,BOARD: 8H 4S 3H 6C 8S | P1: KC 4D | P2: 5S 4H | P3: TD 9H | P4: 4C QH | P5: KS JH | P6: 2S AS,P1: Two Pair | P2: Two Pair | P3: Pair | P4: Two Pair | P5: Pair | P6: Pair,100.0,0.0,0.0,0.0,0.0,0.0
5,0,1,0,0,12,1,0,0,0,10,1,0,0,0,8,0,0,1,0,10,0,0,1,0,5,0,0,1,0,9,1,0,0,0,4,0,0,0,1,8,0,0,0,1,7,0,1,0,0,7,1,0,0,0,13,0,1,0,0,11,0,0,1,0,14,0,0,0,1,12,0,0,1,0,11,0,1,0,0,13,0,0,0,1,P5,BOARD: 5D QC TC 8H TH | P1: 5H 9C | P2: 4S 8S | P3: 7D 7C | P4: KD JH | P5: AS QH | P6: JD KS,P1: Two Pair | P2: Two Pair | P3: Two Pair | P4: Pair | P5: Two Pair | P6: Pair,0.0,0.0,0.0,0.0,100.0,0.0
5,0,0,0,1,11,1,0,0,0,13,1,0,0,0,6,0,1,0,0,14,0,0,1,0,3,0,0,0,1,3,0,1,0,0,10,1,0,0,0,12,1,0,0,0,2,0,0,0,1,6,1,0,0,0,6,0,0,0,1,4,0,1,0,0,8,1,0,0,0,8,0,1,0,0,3,1,0,0,0,7,0,1,0,0,P2,BOARD: 5S JC KC 6D AH | P1: 3S 3D | P2: TC QC | P3: 2S 6C | P4: 6S 4D | P5: 8C 8D | P6: 3C 7D,P1: Pair | P2: Straight | P3: Pair | P4: Pair | P5: Pair | P6: High Card,0.0,100.0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,0,0,1,13,0,0,1,0,12,0,0,1,0,3,0,0,1,0,9,0,0,0,1,12,0,1,0,0,3,0,1,0,0,10,1,0,0,0,8,0,0,1,0,9,1,0,0,0,8,0,1,0,0,3,1,0,0,0,6,0,0,1,0,14,1,0,0,0,5,0,1,0,0,6,1,0,0,0,P1,BOARD: 2D 2S KH QH 3H | P1: 9S QD | P2: 3D TC | P3: 8H 9C | P4: 8D 3C | P5: 6H AC | P6: 5D 6C,P1: Two Pair | P2: Two Pair | P3: Pair | P4: Two Pair | P5: Pair | P6: Pair,100.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,1,11,0,1,0,0,10,1,0,0,0,2,1,0,0,0,6,0,1,0,0,4,0,0,0,1,2,0,0,1,0,3,0,0,0,1,4,0,0,1,0,14,0,0,1,0,8,0,0,1,0,12,0,1,0,0,13,0,1,0,0,7,1,0,0,0,10,0,0,1,0,8,1,0,0,0,7,0,1,0,0,P5,BOARD: 6S JD TC 2C 6D | P1: 4S 2H | P2: 3S 4H | P3: AH 8H | P4: QD KD | P5: 7C TH | P6: 8C 7D,P1: Two Pair | P2: Pair | P3: Pair | P4: Pair | P5: Two Pair | P6: Pair,0.0,0.0,0.0,0.0,100.0,0.0
9,0,0,1,0,5,0,1,0,0,10,0,0,1,0,10,0,0,0,1,7,0,0,0,1,11,1,0,0,0,8,0,0,0,1,6,0,0,1,0,12,0,0,0,1,8,1,0,0,0,2,0,0,0,1,12,1,0,0,0,13,1,0,0,0,9,0,0,0,1,2,1,0,0,0,3,0,0,1,0,3,0,0,0,1,P1,BOARD: 9H 5D TH TS 7S | P1: JC 8S | P2: 6H QS | P3: 8C 2S | P4: QC KC | P5: 9S 2C | P6: 3H 3S,P1: Straight | P2: Pair | P3: Pair | P4: Pair | P5: Two Pair | P6: Two Pair,100.0,0.0,0.0,0.0,0.0,0.0
12,0,1,0,0,14,0,1,0,0,13,0,0,1,0,10,0,0,1,0,8,0,0,0,1,4,1,0,0,0,6,0,0,1,0,3,0,1,0,0,10,0,1,0,0,5,1,0,0,0,11,0,1,0,0,7,0,1,0,0,7,0,0,1,0,2,1,0,0,0,2,0,0,0,1,5,0,0,0,1,4,0,0,0,1,P3,BOARD: QD AD KH TH 8S | P1: 4C 6H | P2: 3D TD | P3: 5C JD | P4: 7D 7H | P5: 2C 2S | P6: 5S 4S,P1: High Card | P2: Pair | P3: Straight | P4: Pair | P5: Pair | P6: High Card,0.0,0.0,100.0,0.0,0.0,0.0
6,0,0,0,1,14,0,0,1,0,12,0,1,0,0,14,0,0,0,1,9,0,0,0,1,6,1,0,0,0,6,0,1,0,0,2,0,1,0,0,11,0,0,0,1,8,0,0,0,1,13,0,1,0,0,10,0,0,1,0,3,1,0,0,0,9,0,1,0,0,11,0,0,1,0,4,1,0,0,0,7,0,0,0,1,P1,BOARD: 6S AH QD AS 9S | P1: 6C 6D | P2: 2D JS | P3: 8S KD | P4: TH 3C | P5: 9D JH | P6: 4C 7S,P1: Full House | P2: Pair | P3: Pair | P4: Pair | P5: Two Pair | P6: Pair,100.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,1,10,0,0,0,1,2,0,0,0,1,2,0,1,0,0,11,1,0,0,0,14,0,0,0,1,13,0,1,0,0,12,1,0,0,0,2,0,0,1,0,9,0,0,0,1,3,0,1,0,0,7,0,0,0,1,10,0,1,0,0,12,0,0,0,1,12,0,1,0,0,4,0,0,1,0,8,0,0,0,1,P2,BOARD: KS TS 2S 2D JC | P1: AS KD | P2: QC 2H | P3: 9S 3D | P4: 7S TD | P5: QS QD | P6: 4H 8S,P1: Two Pair | P2: Three of a Kind | P3: Pair | P4: Two Pair | P5: Two Pair | P6: Pair,0.0,100.0,0.0,0.0,0.0,0.0
5,0,0,0,1,3,0,1,0,0,3,0,0,1,0,13,1,0,0,0,2,0,1,0,0,4,0,0,1,0,10,0,0,1,0,5,1,0,0,0,5,0,1,0,0,13,0,0,1,0,7,0,0,0,1,11,0,0,1,0,4,1,0,0,0,2,0,0,0,1,7,1,0,0,0,12,0,0,0,1,10,0,1,0,0,P2,BOARD: 5S 3D 3H KC 2D | P1: 4H TH | P2: 5C 5D | P3: KH 7S | P4: JH 4C | P5: 2S 7C | P6: QS TD,P1: Pair | P2: Full House | P3: Two Pair | P4: Pair | P5: Two Pair | P6: Pair,0.0,100.0,0.0,0.0,0.0,0.0
3,1,0,0,0,2,0,1,0,0,7,0,0,0,1,14,0,0,1,0,13,0,0,1,0,10,0,0,0,1,7,0,0,1,0,12,1,0,0,0,13,0,0,0,1,14,0,1,0,0,5,0,0,1,0,10,0,1,0,0,4,0,0,1,0,10,0,0,1,0,11,0,1,0,0,5,0,1,0,0,11,0,0,0,1,P3,BOARD: 3C 2D 7S AH KH | P1: TS 7H | P2: QC KS | P3: AD 5H | P4: TD 4H | P5: TH JD | P6: 5D JS,P1: Pair | P2: Pair | P3: Pair | P4: High Card | P5: High Card | P6: High Card,0.0,0.0,100.0,0.0,0.0,0.0
5,1,0,0,0,14,0,1,0,0,8,1,0,0,0,13,0,0,1,0,11,0,0,1,0,14,1,0,0,0,13,0,1,0,0,10,0,1,0,0,3,0,1,0,0,4,0,1,0,0,5,0,1,0,0,6,0,0,0,1,9,0,0,1,0,13,0,0,0,1,12,1,0,0,0,12,0,1,0,0,3,0,0,0,1,P1,BOARD: 5C AD 8C KH JH | P1: AC KD | P2: TD 3D | P3: 4D 5D | P4: 6S 9H | P5: KS QC | P6: QD 3S,P1: Two Pair | P2: High Card | P3: Pair | P4: High Card | P5: Pair | P6: High Card,100.0,0.0,0.0,0.0,0.0,0.0
7,1,0,0,0,13,0,0,1,0,2,1,0,0,0,8,0,0,1,0,12,0,0,1,0,4,0,0,1,0,9,0,1,0,0,8,1,0,0,0,10,1,0,0,0,12,0,0,0,1,4,0,1,0,0,5,0,0,1,0,12,0,1,0,0,6,0,0,0,1,7,0,0,0,1,6,0,1,0,0,11,1,0,0,0,P3_P4,BOARD: 7C KH 2C 8H QH | P1: 4H 9D | P2: 8C TC | P3: QS 4D | P4: 5H QD | P5: 6S 7S | P6: 6D JC,P1: High Card | P2: Pair | P3: Pair | P4: Pair | P5: Pair | P6: High Card,0.0,0.0,50.0,50.0,0.0,0.0
5,0,0,0,1,7,0,1,0,0,8,0,1,0,0,3,0,0,0,1,7,0,0,0,1,7,0,0,1,0,10,0,1,0,0,6,0,0,0,1,4,0,0,0,1,4,0,1,0,0,7,1,0,0,0,3,0,0,1,0,13,0,0,1,0,9,0,0,0,1,2,0,0,0,1,6,1,0,0,0,12,0,1,0,0,P2,BOARD: 5S 7D 8D 3S 7S | P1: 7H TD | P2: 6S 4S | P3: 4D 7C | P4: 3H KH | P5: 9S 2S | P6: 6C QD,P1: Three of a Kind | P2: Straight Flush | P3: Three of a Kind | P4: Two Pair | P5: Flush | P6: Pair,0.0,100.0,0.0,0.0,0.0,0.0
13,0,0,0,1,9,1,0,0,0,10,0,0,0,1,7,0,1,0,0,13,1,0,0,0,12,0,1,0,0,6,0,1,0,0,6,0,0,0,1,12,0,0,0,1,3,1,0,0,0,3,0,0,1,0,4,0,0,0,1,3,0,1,0,0,2,0,0,1,0,10,0,1,0,0,9,0,0,1,0,8,0,0,0,1,P5,BOARD: KS 9C TS 7D KC | P1: QD 6D | P2: 6S QS | P3: 3C 3H | P4: 4S 3D | P5: 2H TD | P6: 9H 8S,P1: Pair | P2: Pair | P3: Two Pair | P4: Pair | P5: Two Pair | P6: Two Pair,0.0,0.0,0.0,0.0,100.0,0.0
14,1,0,0,0,12,0,0,0,1,7,0,1,0,0,5,1,0,0,0,6,0,0,1,0,14,0,0,1,0,13,0,0,0,1,13,1,0,0,0,11,0,1,0,0,11,1,0,0,0,9,0,0,1,0,12,0,0,1,0,2,0,0,0,1,4,0,0,1,0,2,0,0,1,0,6,1,0,0,0,3,0,0,1,0,P1,BOARD: AC QS 7D 5C 6H | P1: AH KS | P2: KC JD | P3: JC 9H | P4: QH 2S | P5: 4H 2H | P6: 6C 3H,P1: Pair | P2: High Card | P3: High Card | P4: Pair | P5: High Card | P6: Pair,100.0,0.0,0.0,0.0,0.0,0.0
14,0,0,0,1,6,0,1,0,0,10,0,1,0,0,11,0,0,1,0,7,1,0,0,0,3,0,1,0,0,6,0,0,1,0,12,1,0,0,0,13,0,0,0,1,9,0,0,0,1,8,0,1,0,0,8,0,0,1,0,9,0,0,1,0,8,1,0,0,0,6,1,0,0,0,8,0,0,0,1,4,0,0,0,1,P2,BOARD: AS 6D TD JH 7C | P1: 3D 6H | P2: QC KS | P3: 9S 8D | P4: 8H 9H | P5: 8C 6C | P6: 8S 4S,P1: Pair | P2: Straight | P3: Straight | P4: Straight | P5: Pair | P6: High Card,0.0,100.0,0.0,0.0,0.0,0.0
9,0,0,0,1,6,0,1,0,0,7,0,0,1,0,6,1,0,0,0,4,0,0,0,1,8,0,0,1,0,3,0,0,1,0,5,0,0,1,0,3,1,0,0,0,3,0,1,0,0,8,1,0,0,0,2,1,0,0,0,14,0,0,1,0,14,1,0,0,0,8,0,1,0,0,11,1,0,0,0,9,1,0,0,0,P2,BOARD: 9S 6D 7H 6C 4S | P1: 8H 3H | P2: 5H 3C | P3: 3D 8C | P4: 2C AH | P5: AC 8D | P6: JC 9C,P1: Pair | P2: Straight | P3: Pair | P4: Pair | P5: Pair | P6: Two Pair,0.0,100.0,0.0,0.0,0.0,0.0
14,0,1,0,0,11,0,0,1,0,5,0,0,0,1,12,0,1,0,0,10,0,0,1,0,3,1,0,0,0,8,1,0,0,0,9,0,1,0,0,14,0,0,0,1,8,0,0,1,0,6,0,0,1,0,5,0,1,0,0,7,0,0,0,1,12,0,0,1,0,7,0,1,0,0,10,1,0,0,0,9,1,0,0,0,P2,BOARD: AD JH 5S QD TH | P1: 3C 8C | P2: 9D AS | P3: 8H 6H | P4: 5D 7S | P5: QH 7D | P6: TC 9C,P1: High Card | P2: Pair | P3: High Card | P4: Pair | P5: Pair | P6: Pair,0.0,100.0,0.0,0.0,0.0,0.0
5,1,0,0,0,12,0,0,0,1,12,1,0,0,0,6,0,1,0,0,13,0,1,0,0,7,1,0,0,0,8,1,0,0,0,11,0,0,0,1,11,0,0,1,0,4,0,0,1,0,3,0,0,1,0,11,1,0,0,0,8,0,0,0,1,13,0,0,1,0,4,0,0,0,1,5,0,0,1,0,3,0,1,0,0,P5,BOARD: 5C QS QC 6D KD | P1: 7C 8C | P2: JS JH | P3: 4H 3H | P4: JC 8S | P5: KH 4S | P6: 5H 3D,P1: Pair | P2: Two Pair | P3: Pair | P4: Pair | P5: Two Pair | P6: Two Pair,0.0,0.0,0.0,0.0,100.0,0.0
